name,address,phone,services,languages,link,source
Dental Clinic - Westminster,"186 Victoria Street, London N2 2PG",020 7372 6097,"Teeth Whitening, Pediatric, General Dentistry, Endodontics, Invisalign","English, Hindi",https://example-dental-1.co.uk,Sample Data
Dental Centre - Southwark,"130 London Road, London SE5 3DL",020 7464 5060,"Teeth Whitening, Pediatric, Veneers, Periodontics, Root Canal, Implants","English, German, Punjabi, Korean",https://example-dental-2.co.uk,Sample Data
Perfect Smile - Waltham Forest,"184 Queen Street, London E10 4TO",020 7424 9513,"Check-Up, Wisdom Teeth, Dental X-Ray, Bridge, Pediatric, Children, Restorative","English, Chinese, Arabic, Greek",https://example-dental-3.co.uk,Sample Data
Premier Dental - Enfield,"49 Main Road, London E1 1IP",020 7117 3699,"Oral Surgery, Invisalign, Root Canal, Teeth Whitening","English, Bengali",https://example-dental-4.co.uk,Sample Data
Dental Studio - Wandsworth,"283 Regent Street, London SE5 5VH",020 7033 8941,"Veneers, Oral Surgery, Bridge, Prosthodontics, Gum Treatment, Scale and Polish, Implants, Dentures","English, Mandarin",https://example-dental-5.co.uk,Sample Data
Dental Clinic - Hounslow,"263 Park Road, London SE1 8JM",020 7694 4496,"Dentures, Gum Treatment, Implants","English, Dutch",https://example-dental-6.co.uk,Sample Data
Dental Clinic - Tower Hamlets,"254 Market Street, London NW5 3LY",020 7120 6197,"Cleaning, Cosmetic Dentistry, Wisdom Teeth, Periodontics, Orthodontics, Fillings","English, Urdu",https://example-dental-7.co.uk,Sample Data
Modern Dental - Fulham,"20 Queen Street, London SW2 1MZ",020 7196 6301,"Crown, Implants, Scale and Polish, Emergency, Veneers, Prosthodontics, Cleaning","English, Vietnamese",https://example-dental-8.co.uk,Sample Data
Dental Practice - Sutton,"221 Regent Street, London EC3 2XG",020 7295 7386,"Root Canal, Crown, Oral Surgery","English, French, Cantonese, Korean, Portuguese",https://example-dental-9.co.uk,Sample Data
Smile Dental - Fulham,"64 Station Road, London E4 1TG",020 7275 4624,"Restorative, Teeth Whitening, Crown, Veneers","English, Greek, Korean, Swedish, Chinese",https://example-dental-10.co.uk,Sample Data
Bright Smile - Harrow,"6 Regent Street, London N1 4GF",020 7426 7533,"Veneers, Dental X-Ray, Implants, Extraction","English, Turkish",https://example-dental-11.co.uk,Sample Data
Dental Practice - Newham,"72 Oxford Street, London N2 2UD",020 7615 5020,"Braces, Check-Up, Preventive, Oral Surgery, Restorative, Veneers, Scale and Polish, Root Canal","English, Spanish, Russian, Swedish",https://example-dental-12.co.uk,Sample Data
Elite Dental - Tower Hamlets,"213 Bond Street, London W2 6AR",020 7909 8052,"Teeth Whitening, Endodontics, Cosmetic Dentistry, Wisdom Teeth, Implants, Fillings, Periodontics","English, Swedish",https://example-dental-13.co.uk,Sample Data
Smile Dental - Wandsworth,"221 Station Road, London EC4 5SN",020 7180 4514,"Braces, Gum Treatment, Veneers, Crown, Emergency, Scale and Polish, Prosthodontics","English, Romanian, Norwegian, Mandarin",https://example-dental-14.co.uk,Sample Data
Bright Smile - Fulham,"283 Main Road, London N3 1DF",020 7914 9142,"Bridge, Cleaning, Scale and Polish, Root Canal, Implants, Dental X-Ray, Crown, Extraction","English, Italian, Bengali, Korean",https://example-dental-15.co.uk,Sample Data
Modern Dental - Richmond,"247 Queen Street, London SW1 8ZA",020 7755 6610,"Orthodontics, Endodontics, Dental Hygiene, Braces","English, Thai, Hindi",https://example-dental-16.co.uk,Sample Data
Dental Centre - Lewisham,"255 Church Street, London W8 5TJ",020 7060 4636,"Scale and Polish, Invisalign, General Dentistry, Check-Up","English, Urdu, Cantonese, French",https://example-dental-17.co.uk,Sample Data
Bright Smile - Kingston,"33 Church Street, London N2 6KC",020 7146 7417,"Root Canal, Cleaning, General Dentistry, Check-Up, Children, Teeth Whitening, Cosmetic Dentistry, Braces","English, Punjabi",https://example-dental-18.co.uk,Sample Data
Elite Dental - Islington,"238 Main Road, London E4 4AP",020 7835 8230,"Teeth Whitening, Endodontics, Oral Surgery, Bridge, Invisalign, Check-Up","English, Arabic",https://example-dental-19.co.uk,Sample Data
Dental Clinic - Westminster,"34 Queen Street, London E8 5NG",020 7464 2345,"Check-Up, Braces, Veneers","English, Korean",https://example-dental-20.co.uk,Sample Data
Family Dental - Haringey,"106 High Street, London NW8 8CW",020 7702 1636,"Cleaning, Dental Hygiene, General Dentistry, Oral Health, Scale and Polish, Emergency","English, Russian, Norwegian, Arabic",https://example-dental-21.co.uk,Sample Data
Healthy Teeth - Bromley,"295 King Street, London N9 9TK",020 7765 2330,"Scale and Polish, Preventive, General Dentistry, Bridge, Dental Hygiene, Braces, Dental X-Ray","English, Bengali, French, Spanish",https://example-dental-22.co.uk,Sample Data
Advanced Dental - Croydon,"185 Station Road, London NW9 1OE",020 7105 6379,"Cosmetic Dentistry, Dental Hygiene, General Dentistry, Cleaning, Wisdom Teeth","English, Chinese",https://example-dental-23.co.uk,Sample Data
Elite Dental - Chelsea,"267 Baker Street, London N8 1HC",020 7641 1884,"Teeth Whitening, Periodontics, Extraction","English, Spanish, Polish",https://example-dental-24.co.uk,Sample Data
Dental Studio - Bexley,"122 Market Street, London NW5 5FP",020 7948 3781,"Preventive, Pediatric, Endodontics, Bridge, Gum Treatment, Veneers, Fillings","English, Mandarin, Hindi, French",https://example-dental-25.co.uk,Sample Data
Dental Care - Redbridge,"163 Church Street, London N7 8CU",020 7722 4261,"Restorative, General Dentistry, Root Canal, Preventive, Endodontics","English, Vietnamese",https://example-dental-26.co.uk,Sample Data
Smile Dental - Southwark,"169 Station Road, London W10 4BN",020 7178 1377,"Orthodontics, Veneers, Scale and Polish, Teeth Whitening, Oral Surgery, Extraction","English, Russian, Polish",https://example-dental-27.co.uk,Sample Data
Comprehensive Dental - Barking,"115 Park Road, London NW10 4LC",020 7804 8121,"Braces, Emergency, Children, Teeth Whitening, Orthodontics","English, Chinese",https://example-dental-28.co.uk,Sample Data
Family Dental - Croydon,"275 Victoria Street, London SE9 7HW",020 7843 7887,"Oral Surgery, Dental X-Ray, Prosthodontics, Endodontics, Root Canal, Braces","English, Arabic",https://example-dental-29.co.uk,Sample Data
Dental Practice - Barnet,"29 Oxford Street, London E7 5CB",020 7637 9440,"Oral Health, Braces, Cosmetic Dentistry, Extraction, Teeth Whitening, Periodontics","English, Hindi, Swedish, Dutch, Korean",https://example-dental-30.co.uk,Sample Data
Advanced Dental - Ealing,"138 Oxford Street, London N10 1FZ",020 7218 5376,"Scale and Polish, Bridge, Gum Treatment, Restorative, Veneers","English, Portuguese",https://example-dental-31.co.uk,Sample Data
Dental Clinic - Chelsea,"87 Oxford Street, London N6 2UR",020 7329 6207,"Restorative, Emergency, Oral Surgery, Braces, Prosthodontics, Cosmetic Dentistry","English, Romanian, Norwegian, Vietnamese",https://example-dental-32.co.uk,Sample Data
Dental Studio - Merton,"34 Regent Street, London NW10 1ED",020 7990 4629,"Invisalign, Fillings, Gum Treatment, Wisdom Teeth","English, Polish, German, Romanian, Thai",https://example-dental-33.co.uk,Sample Data
Healthy Teeth - Bexley,"95 Market Street, London N3 1FA",020 7573 7835,"Dental Hygiene, Check-Up, Orthodontics, Braces, Emergency, Dentures, Pediatric, Preventive","English, Punjabi",https://example-dental-34.co.uk,Sample Data
Elite Dental - Islington,"3 Bridge Street, London SW5 6QY",020 7998 5210,"Oral Health, Restorative, Invisalign, Fillings, Endodontics, Orthodontics, Dental Hygiene","English, Korean, Farsi, Romanian",https://example-dental-35.co.uk,Sample Data
Family Dental - Chelsea,"92 London Road, London N3 7NX",020 7418 6190,"Dental X-Ray, Prosthodontics, Cleaning, Teeth Whitening, Endodontics, Oral Health, Implants","English, Thai",https://example-dental-36.co.uk,Sample Data
Healthy Teeth - Croydon,"107 Baker Street, London SW5 2VZ",020 7175 4456,"Periodontics, Dentures, Preventive, Veneers, Check-Up, Children, Crown, Fillings","English, Romanian, Hindi",https://example-dental-37.co.uk,Sample Data
Bright Smile - Ealing,"156 Church Street, London W4 1YE",020 7313 1118,"Emergency, Endodontics, Braces, Dentures, Periodontics","English, German, Vietnamese, Tagalog, Norwegian",https://example-dental-38.co.uk,Sample Data
Dental Clinic - Hammersmith,"261 Station Road, London W7 1GV",020 7149 3407,"Dental Hygiene, Preventive, Cleaning, Root Canal, Periodontics","English, Swedish, Hebrew, Bengali",https://example-dental-39.co.uk,Sample Data
Dental Care - Barking,"83 Church Street, London W10 9HR",020 7312 7034,"Periodontics, Wisdom Teeth, Dental Hygiene, Cleaning","English, Farsi",https://example-dental-40.co.uk,Sample Data
Elite Dental - Sutton,"80 Bridge Street, London N3 7VR",020 7142 4713,"Root Canal, Veneers, Cosmetic Dentistry","English, Norwegian",https://example-dental-41.co.uk,Sample Data
Premier Dental - Richmond,"134 Main Road, London N3 5DQ",020 7057 9600,"Dental Hygiene, Root Canal, Pediatric, Endodontics, Oral Health, Veneers, Scale and Polish","English, Hebrew, French, Spanish",https://example-dental-42.co.uk,Sample Data
Dental Clinic - Merton,"258 Bridge Street, London EC2 2JR",020 7523 4903,"Crown, Braces, Root Canal, Bridge, Fillings, Extraction, Children","English, Turkish, Dutch",https://example-dental-43.co.uk,Sample Data
Advanced Dental - Brent,"132 Bridge Street, London SW3 4IZ",020 7555 8364,"Orthodontics, Prosthodontics, Periodontics, Endodontics, Veneers","English, Swedish, Japanese, Bengali",https://example-dental-44.co.uk,Sample Data
Dental Studio - Lambeth,"288 Baker Street, London NW4 3IT",020 7169 9001,"Pediatric, Dental X-Ray, Restorative, Cosmetic Dentistry","English, Punjabi, Russian, Spanish",https://example-dental-45.co.uk,Sample Data
Comprehensive Dental - Fulham,"214 Baker Street, London W5 1KF",020 7990 3877,"Gum Treatment, Implants, Restorative","English, Italian",https://example-dental-46.co.uk,Sample Data
Dental Clinic - Haringey,"148 Station Road, London W6 6IX",020 7334 6225,"Wisdom Teeth, Bridge, Root Canal, Dentures, Prosthodontics, Scale and Polish","English, Italian, Polish, Punjabi, Japanese",https://example-dental-47.co.uk,Sample Data
Elite Dental - Croydon,"107 Park Road, London SW4 6ZK",020 7927 4979,"Cleaning, Oral Health, Preventive, Extraction, Orthodontics, Check-Up, Veneers, Bridge","English, German, Spanish, Korean",https://example-dental-48.co.uk,Sample Data
Family Dental - Waltham Forest,"300 Main Road, London E5 2GL",020 7451 2950,"Fillings, Bridge, Braces, Oral Surgery, Gum Treatment, General Dentistry","English, Thai, Farsi, Arabic, Korean",https://example-dental-49.co.uk,Sample Data
Smile Dental - Chelsea,"69 Victoria Street, London W1 8NH",020 7148 3609,"Oral Surgery, General Dentistry, Oral Health","English, Spanish, Thai, Norwegian, Dutch",https://example-dental-50.co.uk,Sample Data
